"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129540-208,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtements friperies enfants"",""Prix sur demande"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3269998_uploaded_image1_1628452686.jpg"""
"1765129540-209,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble combinaison enfant 2 pièces"",""7 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3268417_uploaded_image1_1628359055.jpg"""
"1765129540-210,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robes enfant"",""4 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3266560_uploaded_image1_1628269772.jpg"""
"1765129540-211,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtements de friperie"",""Prix sur demande"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3252830_uploaded_image1_1627680137.jpg"""
"1765129540-212,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Sous vêtements enfants"",""Prix sur demande"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3250923_uploaded_image1_1627575838.jpg"""
"1765129540-213,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe enfant"",""12 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3246336_uploaded_image1_1627341068.jpg"""
"1765129540-214,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Maillot de bain enfant"",""5 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3243385_uploaded_image1_1627145773.jpg"""
"1765129540-215,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble short fille"",""8 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3243381_uploaded_image1_1627145505.jpg"""
"1765129540-216,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble enfants"",""Prix sur demande"",""Mbao, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3225642_uploaded_image1_1626171489.jpg"""
"1765129540-217,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe   enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3223803_uploaded_image1_1626088912.jpg"""
"1765129540-218,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3223798_uploaded_image1_1626088863.jpg"""
"1765129540-219,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3223774_uploaded_image1_1626088433.jpg"""
"1765129540-220,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe enfant"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3222211_uploaded_image1_1626008052.jpg"""
"1765129540-221,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3221637_uploaded_image1_1625954553.jpg"""
"1765129540-222,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Djellaba enfant"",""5 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3201236_uploaded_image1_1625141023.jpg"""
"1765129540-223,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtement enfant"",""2 500CFA"",""Ziguinchor, Sénégal"",""https://images.coinafrique.com/thumb_3199217_uploaded_image1_1625065031.jpg"""
"1765129540-224,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Boubou enfant"",""1 000CFA"",""Ziguinchor, Sénégal"",""https://images.coinafrique.com/thumb_3199201_uploaded_image1_1625064316.jpg"""
"1765129540-225,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Sous-vêtement Enfant"",""Prix sur demande"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg"""
"1765129540-226,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Habits bébé"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3192618_uploaded_image1_1624700331.jpg"""
"1765129540-227,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble vêtements"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3186865_uploaded_image1_1624408771.jpg"""
"1765129540-228,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Sous vêtement enfants"",""5 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3186113_uploaded_image1_1624378022.jpg"""
"1765129540-229,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""T-shirt enfant"",""1 500CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3186107_uploaded_image1_1624377710.jpg"""
"1765129540-230,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe pour fillette"",""12 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3178371_uploaded_image1_1623973004.jpg"""
"1765129540-231,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robes enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3176544_uploaded_image1_1623885930.jpg"""
"1765129540-232,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Jeans de friperie enfant"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174226_uploaded_image1_1623782700.jpg"""
"1765129540-233,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe de friperie enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174224_uploaded_image1_1623782622.jpg"""
"1765129540-234,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robes de friperie enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174220_uploaded_image1_1623782572.jpg"""
"1765129540-235,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe de friperie enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174219_uploaded_image1_1623782525.jpg"""
"1765129540-236,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble enfants"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174216_uploaded_image1_1623782453.jpg"""
"1765129540-237,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe de friperie - enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174214_uploaded_image1_1623782405.jpg"""
"1765129540-238,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble enfants"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174209_uploaded_image1_1623782334.jpg"""
"1765129540-239,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Jeans friperie enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174207_uploaded_image1_1623782291.jpg"""
"1765129540-240,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Jeans de friperie"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174201_uploaded_image1_1623782246.jpg"""
"1765129540-241,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble chemises + pantalon friperie enfants"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3174199_uploaded_image2_1623782190.jpeg"""
"1765129540-242,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe fillette"",""7 000CFA"",""Cambérène, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3172225_uploaded_image1_1623704262.jpg"""
"1765129540-243,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtements enfants"",""4 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3163009_uploaded_image1_1623254458.jpg"""
"1765129540-244,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtement enfant"",""30 000CFA"",""Toubab Dialao, Sénégal"",""https://images.coinafrique.com/thumb_3160326_uploaded_image1_1623155200.jpg"""
"1765129540-245,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble bébé été"",""5 500CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3156533_uploaded_image1_1622995117.jpg"""
"1765129540-246,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble été avec bavoir bébé"",""5 500CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3156529_uploaded_image1_1622995007.jpg"""
"1765129540-247,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Ensemble bébé"",""4 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3153951_uploaded_image1_1622847447.jpg"""
"1765129540-248,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Robe  enfant"",""15 000CFA"",""Mbao, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3147894_uploaded_image1_1622636034.jpg"""
"1765129540-249,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtement enfant"",""1 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3138756_uploaded_image2_1622223312.jpeg"""
"1765129540-250,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtements enfants"",""1 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3138754_uploaded_image1_1622223222.jpg"""
"1765129540-251,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtement enfant"",""1 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3138750_uploaded_image1_1622223144.jpg"""
"1765129540-252,""https://sn.coinafrique.com/categorie/vetements-enfants?page=8"",""Vêtement enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3138747_uploaded_image1_1622223048.jpg"""
"1765129543-253,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Peignoir personnalisé enfant"",""12 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3563684_uploaded_image1_1644584292.jpg"""
"1765129543-254,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Habits enfants"",""8 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3601827_uploaded_image1_1646873978.jpg"""
"1765129543-255,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""1 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3600538_uploaded_image1_1646825050.jpg"""
"1765129543-256,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3600535_uploaded_image2_1646824967.jpeg"""
"1765129543-257,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3600530_uploaded_image2_1646824909.jpeg"""
"1765129543-258,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3600527_uploaded_image1_1646824864.jpg"""
"1765129543-259,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3600524_uploaded_image1_1646824802.jpg"""
"1765129543-260,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements bébé"",""1 500CFA"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3599090_uploaded_image1_1646743024.jpg"""
"1765129543-261,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pantalon Zara enfant"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3598377_uploaded_image1_1646692365.jpg"""
"1765129543-262,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble Veste enfant"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3594235_uploaded_image1_1646433088.jpg"""
"1765129543-263,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement bébé"",""10 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3588188_uploaded_image1_1646153533.jpg"""
"1765129543-264,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement bébé"",""10 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3588178_uploaded_image1_1646153368.jpg"""
"1765129543-265,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Maillot enfant"",""8 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3585164_uploaded_image1_1645997873.jpg"""
"1765129543-266,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Peignoirs enfants"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3584341_uploaded_image1_1645920047.jpg"""
"1765129543-267,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble tenu mardi Gras"",""20 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3582459_uploaded_image1_1645794121.jpg"""
"1765129543-268,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement bébé"",""4 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3568689_uploaded_image1_1644934911.jpg"""
"1765129543-269,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Maillot football enfants - Sénégal"",""8 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3566348_uploaded_image3_1644775694.jpeg"""
"1765129543-270,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Abaya"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3560017_uploaded_image1_1644370671.jpg"""
"1765129543-271,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Sous vêtements enfant"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3552570_uploaded_image1_1643898522.jpg"""
"1765129543-272,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfant  3-6 mois"",""12 500CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3550527_uploaded_image1_1643810579.jpg"""
"1765129543-273,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""9 900CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3550501_uploaded_image1_1643809792.jpg"""
"1765129543-274,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble pour bébé"",""18 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3550411_uploaded_image3_1643807273.jpeg"""
"1765129543-275,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble fillette"",""8 500CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3549965_uploaded_image1_1643796780.jpg"""
"1765129543-276,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""12 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3549957_uploaded_image1_1643796504.jpg"""
"1765129543-277,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement Mardi-gras"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3547360_uploaded_image1_1643703487.jpg"""
"1765129543-278,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Manteau fille"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3546701_uploaded_image1_1643659342.jpg"""
"1765129543-279,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pull bébé"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3546662_uploaded_image1_1643656828.jpg"""
"1765129543-280,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe bébé crochet"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3546633_uploaded_image1_1643655713.jpg"""
"1765129543-281,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Blouson enfant"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3538747_uploaded_image1_1643124842.jpg"""
"1765129543-282,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3536216_uploaded_image1_1642943146.jpg"""
"1765129543-283,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe"",""25 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3534704_uploaded_image1_1642807674.jpg"""
"1765129543-284,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe enfant"",""25 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3534701_uploaded_image1_1642807591.jpg"""
"1765129543-285,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe"",""25 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3534698_uploaded_image1_1642807515.jpg"""
"1765129543-286,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3527123_uploaded_image1_1642357733.jpg"""
"1765129543-287,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pantalon enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3527122_uploaded_image1_1642357621.jpg"""
"1765129543-288,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3527120_uploaded_image1_1642357377.jpg"""
"1765129543-289,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Boxer fille"",""8 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3516974_uploaded_image1_1641760222.jpg"""
"1765129543-290,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Caleçons boxers enfants"",""8 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3516897_uploaded_image1_1641755817.jpg"""
"1765129543-291,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Tenue fillette"",""8 500CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3516300_uploaded_image1_1641719011.jpg"""
"1765129543-292,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble garçon"",""13 500CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3513877_uploaded_image1_1641564259.jpg"""
"1765129543-293,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement bébé"",""5 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3512035_uploaded_image1_1641478303.jpg"""
"1765129543-294,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pull friperie enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3502826_uploaded_image1_1640879287.jpg"""
"1765129543-295,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble friperie enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3502825_uploaded_image1_1640879211.jpg"""
"1765129543-296,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe princesse"",""25 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3495993_uploaded_image1_1640295236.jpg"""
"1765129543-297,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Jeans enfants"",""6 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3495990_uploaded_image1_1640295017.jpg"""
"1765129543-298,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Collant enfant"",""2 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3492922_uploaded_image1_1640098024.jpg"""
"1765129543-299,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfant"",""1 000CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3491313_uploaded_image1_1639999946.jpg"""
"1765129543-300,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements garçon 0-24 mois"",""2 500CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3491173_uploaded_image1_1639994016.jpg"""
"1765129543-301,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement friperie bébé"",""20 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3491052_uploaded_image1_1639984599.jpg"""
"1765129543-302,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensembles enfant"",""4 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3490179_uploaded_image2_1639899300.jpeg"""
"1765129543-303,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Collants enfant - 0 à 24 mois"",""2 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3488219_uploaded_image1_1639747204.jpg"""
"1765129543-304,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble  enfant"",""6 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3487929_uploaded_image1_1639736157.jpg"""
"1765129543-305,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""5 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3483054_uploaded_image1_1639471866.jpg"""
"1765129543-306,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe fille"",""5 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3480133_uploaded_image1_1639253211.jpg"""
"1765129543-307,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfants"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3475710_uploaded_image1_1639000859.jpg"""
"1765129543-308,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfants"",""15 000CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3472103_uploaded_image1_1638829619.jpg"""
"1765129543-309,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Ensemble enfants"",""25 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3470013_uploaded_image1_1638728238.jpg"""
"1765129543-310,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pull capuche enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3468416_uploaded_image1_1638627351.jpg"""
"1765129543-311,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfants friperie"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3468413_uploaded_image1_1638627289.jpg"""
"1765129543-312,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pull capuche enfants friperie"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3468409_uploaded_image1_1638627241.jpg"""
"1765129543-313,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe fille"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3467169_uploaded_image1_1638560609.jpg"""
"1765129543-314,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Robe de cérémonie"",""25 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3462842_uploaded_image1_1638387220.jpg"""
"1765129543-315,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Slip  enfant"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3462374_uploaded_image3_1638371268.jpeg"""
"1765129543-316,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Pantalon enfant"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3460818_uploaded_image1_1638313368.jpg"""
"1765129543-317,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfants"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3460815_uploaded_image1_1638313292.jpg"""
"1765129543-318,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3460197_uploaded_image1_1638285384.jpg"""
"1765129543-319,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtements enfants"",""Prix sur demande"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg"""
"1765129543-320,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement friperie enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3447441_uploaded_image2_1637437933.jpeg"""
"1765129543-321,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Culotte friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3447436_uploaded_image1_1637437824.jpg"""
"1765129543-322,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Bonnet bébé"",""1 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3446293_uploaded_image1_1637361506.jpg"""
"1765129543-323,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Vêtement enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3438481_uploaded_image1_1636971503.jpg"""
"1765129543-324,""https://sn.coinafrique.com/categorie/vetements-enfants?page=7"",""Combinaison surf pour enfant"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3420805_uploaded_image1_1636035011.jpg"""
