"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129534-27,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements bébé"",""Prix sur demande"",""Ouakam, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2959248_uploaded_image2_1613679445.jpeg"""
"1765129534-28,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Kit de prière pour garçon"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2959193_uploaded_image1_1613676990.jpg"""
"1765129534-29,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Kit de prière pour fille"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2959180_uploaded_image1_1613676547.jpg"""
"1765129534-30,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements bébé"",""3 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2958974_uploaded_image1_1613669656.jpg"""
"1765129534-31,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement bébé"",""3 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2958970_uploaded_image1_1613669538.jpg"""
"1765129534-32,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Sous vêtements fille"",""3 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2956441_uploaded_image1_1613569974.jpg"""
"1765129534-33,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Robe pour filles"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2956437_uploaded_image1_1613569866.jpg"""
"1765129534-34,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble enfants"",""10 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2951605_uploaded_image1_1613355841.jpg"""
"1765129534-35,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2942141_uploaded_image1_1612893757.jpg"""
"1765129534-36,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Shorts garçon"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2940112_uploaded_image1_1612814516.jpg"""
"1765129534-37,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Habits enfants"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2939878_uploaded_image1_1612807579.jpg"""
"1765129534-38,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2939012_uploaded_image1_1612783880.jpg"""
"1765129534-39,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfant"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938994_uploaded_image1_1612783471.jpg"""
"1765129534-40,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Friperie enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938990_uploaded_image1_1612783368.jpg"""
"1765129534-41,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements friperie enfants"",""1 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938986_uploaded_image1_1612783292.jpg"""
"1765129534-42,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938981_uploaded_image1_1612783153.jpg"""
"1765129534-43,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938979_uploaded_image1_1612783091.jpg"""
