"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128891-214,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures pour homme"",""13 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5279254_uploaded_image1_1744509325.jpg"""
"1765128891-215,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Berluti"",""24 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277302_uploaded_image1_1744380806.jpg"""
"1765128891-216,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Sandales Balanciaga"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5275448_uploaded_image1_1744291597.jpg"""
"1765128891-217,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Sneakers Nike Vapormax 2026"",""45 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5274646_uploaded_image1_1744236593.jpg"""
"1765128891-218,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5273973_uploaded_image1_1744209028.jpg"""
"1765128891-219,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""20 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5272396_uploaded_image1_1744132787.jpg"""
"1765128891-220,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures hommes"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5269413_uploaded_image1_1744009328.jpg"""
"1765128891-221,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures pour homme"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5269412_uploaded_image1_1744009246.jpg"""
"1765128891-222,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures hommes"",""25 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5269407_uploaded_image1_1744008993.jpg"""
"1765128891-223,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""13 500CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5267782_uploaded_image1_1743893564.jpg"""
"1765128891-224,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5267715_uploaded_image1_1743890662.jpg"""
"1765128891-225,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""35 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5265455_uploaded_image1_1743773971.jpg"""
"1765128891-226,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets"",""3 000CFA"",""Mbao, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5262492_uploaded_image1_1743632195.jpg"""
"1765128891-227,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5262150_uploaded_image1_1743614036.jpg"""
"1765128891-228,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Mocassins Chunky Loafers"",""75 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5257518_uploaded_image1_1743359463.jpg"""
"1765128891-229,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Mocassin"",""25 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5257283_uploaded_image1_1743345206.jpg"""
"1765128891-230,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""25 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5257271_uploaded_image1_1743344514.jpg"""
"1765128891-231,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5254215_uploaded_image1_1743124170.jpg"""
"1765128891-232,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Sandales homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5254169_uploaded_image2_1743118437.jpeg"""
"1765128891-233,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5253716_uploaded_image1_1743093416.jpg"""
"1765128891-234,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5253687_uploaded_image1_1743092167.jpg"""
"1765128891-235,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Babouches marocain"",""10 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5252737_uploaded_image1_1743045830.jpg"""
"1765128891-236,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Babouches Marakich"",""123CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5251851_uploaded_image1_1743001414.jpg"""
"1765128891-237,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5251791_uploaded_image1_1742999110.jpg"""
"1765128891-238,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""17 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5250867_uploaded_image1_1742945140.jpg"""
"1765128891-239,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets Nike Air Max 95"",""19 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5250339_uploaded_image1_1742916939.jpg"""
"1765128891-240,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""25 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5249189_uploaded_image1_1742857796.jpg"""
"1765128891-241,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures homme"",""25 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5249173_uploaded_image2_1742857458.jpeg"""
"1765128891-242,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets homme"",""25 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5249158_uploaded_image1_1742856533.jpg"""
"1765128891-243,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets homme"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5249008_uploaded_image1_1742848944.jpg"""
"1765128891-244,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets New Balance"",""16 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5248723_uploaded_image1_1742835691.jpg"""
"1765128891-245,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Boss"",""30 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5248608_uploaded_image1_1742831838.jpg"""
"1765128891-246,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Timberland"",""18 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5248606_uploaded_image1_1742831737.jpg"""
"1765128891-247,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets Nike Zoom"",""14 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5248604_uploaded_image1_1742831644.jpg"""
"1765128891-248,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Berluti"",""25 000CFA"",""Pikine, Sénégal"",""https://images.coinafrique.com/thumb_5248498_uploaded_image1_1742827140.jpg"""
"1765128891-249,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures New balance"",""25 000CFA"",""Pikine, Sénégal"",""https://images.coinafrique.com/thumb_5248491_uploaded_image1_1742826946.jpg"""
"1765128891-250,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Timberland"",""14 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5248156_uploaded_image1_1742815132.jpg"""
"1765128891-251,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Chaussures Berluti"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5247335_uploaded_image1_1742773069.jpg"""
"1765128891-252,""https://sn.coinafrique.com/categorie/chaussures-homme?page=8"",""Baskets Nike TN"",""16 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5247027_uploaded_image1_1742754840.jpg"""
"1765128901-253,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures en cuirs pour homme"",""20 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_5353808_uploaded_image1_1748715471.jpg"""
"1765128901-254,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""16 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5307447_uploaded_image1_1746143406.jpg"""
"1765128901-255,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5307448_uploaded_image1_1746143468.jpg"""
"1765128901-256,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""16 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5307453_uploaded_image1_1746143663.jpg"""
"1765128901-257,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5307445_uploaded_image1_1746143357.jpg"""
"1765128901-258,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""22 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5351719_uploaded_image1_1748579858.jpg"""
"1765128901-259,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Tapettes homme"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5351718_uploaded_image2_1748579763.jpeg"""
"1765128901-260,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5305851_uploaded_image1_1746060014.jpg"""
"1765128901-261,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Timberland Berluti"",""16 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5350414_uploaded_image1_1748484037.jpg"""
"1765128901-262,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Baskets NB9050"",""23 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5350412_uploaded_image1_1748483937.jpg"""
"1765128901-263,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Baskets NB1906"",""23 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5350411_uploaded_image1_1748483850.jpg"""
"1765128901-264,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures unisexe"",""14 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5350017_uploaded_image1_1748459077.jpg"""
"1765128901-265,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures unisexe"",""14 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5349939_uploaded_image1_1748454104.jpg"""
"1765128901-266,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Babouches"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5349918_uploaded_image1_1748452087.jpg"""
"1765128901-267,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures hommes"",""14 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5349774_uploaded_image1_1748446268.jpg"""
"1765128901-268,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348358_uploaded_image1_1748370711.jpg"""
"1765128901-269,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures  homme"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348355_uploaded_image1_1748370436.jpg"""
"1765128901-270,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales homme"",""14 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348109_uploaded_image1_1748359717.jpg"""
"1765128901-271,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales homme"",""14 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348095_uploaded_image1_1748359287.jpg"""
"1765128901-272,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""16 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348083_uploaded_image1_1748359073.jpg"""
"1765128901-273,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures de course"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5347629_uploaded_image1_1748342137.jpg"""
"1765128901-274,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures"",""22 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5346815_uploaded_image1_1748284555.jpg"""
"1765128901-275,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""22 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5346444_uploaded_image1_1748273049.jpg"""
"1765128901-276,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5346342_uploaded_image1_1748270169.jpg"""
"1765128901-277,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Stan  Smith"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299470_uploaded_image1_1745669343.jpg"""
"1765128901-278,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures original"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299450_uploaded_image1_1745668750.jpg"""
"1765128901-279,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Balenciaga"",""13 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5343633_uploaded_image1_1748099218.jpg"""
"1765128901-280,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5343503_uploaded_image1_1748092307.jpg"""
"1765128901-281,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""13 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5343375_uploaded_image1_1748086204.jpg"""
"1765128901-282,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""15 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293535_uploaded_image1_1745362191.jpg"""
"1765128901-283,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293048_uploaded_image1_1745339518.jpg"""
"1765128901-284,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Nike"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293050_uploaded_image1_1745339558.jpg"""
"1765128901-285,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5291969_uploaded_image1_1745276331.jpg"""
"1765128901-286,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5291981_uploaded_image1_1745276752.jpg"""
"1765128901-287,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Stan Smith"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5291976_uploaded_image1_1745276541.jpg"""
"1765128901-288,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""25 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5291978_uploaded_image1_1745276625.jpg"""
"1765128901-289,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5337426_uploaded_image1_1747766507.jpg"""
"1765128901-290,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5337421_uploaded_image1_1747766439.jpg"""
"1765128901-291,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5336781_uploaded_image1_1747739999.jpg"""
"1765128901-292,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussure Timberland"",""20 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5335978_uploaded_image1_1747682457.jpg"""
"1765128901-293,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sneakers Timberland"",""20 000CFA"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5335950_uploaded_image1_1747681246.jpg"""
"1765128901-294,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Timberlands homme"",""30 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5334044_uploaded_image1_1747578967.jpg"""
"1765128901-295,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5333899_uploaded_image1_1747569426.jpg"""
"1765128901-296,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288623_uploaded_image1_1745018712.jpg"""
"1765128901-297,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Nike"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5332891_uploaded_image1_1747492369.jpg"""
"1765128901-298,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5332884_uploaded_image1_1747492109.jpg"""
"1765128901-299,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5332880_uploaded_image1_1747491983.jpg"""
"1765128901-300,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""15 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5332114_uploaded_image1_1747436179.jpg"""
"1765128901-301,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales Hermès"",""25 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5329885_uploaded_image2_1747329825.jpeg"""
"1765128901-302,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283172_uploaded_image1_1744733542.jpg"""
"1765128901-303,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""25 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283140_uploaded_image1_1744733006.jpg"""
"1765128901-304,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283144_uploaded_image1_1744733046.jpg"""
"1765128901-305,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales orthopédique"",""20 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5327825_uploaded_image1_1747239241.jpg"""
"1765128901-306,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5327297_uploaded_image1_1747222943.jpg"""
"1765128901-307,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Baskets homme"",""13 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325840_uploaded_image1_1747144273.jpg"""
"1765128901-308,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Baskets homme"",""12 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325834_uploaded_image1_1747144150.jpg"""
"1765128901-309,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Adidas Crazy fast"",""25 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325818_uploaded_image1_1747143461.jpg"""
"1765128901-310,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Claquettes homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325411_uploaded_image1_1747130286.jpg"""
"1765128901-311,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""8 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325029_uploaded_image1_1747102173.jpg"""
"1765128901-312,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""25 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325002_uploaded_image1_1747098450.jpg"""
"1765128901-313,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Baskets New Balance 530"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5324993_uploaded_image1_1747097377.jpg"""
"1765128901-314,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5324986_uploaded_image1_1747096835.jpg"""
"1765128901-315,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales homme"",""13 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5324106_uploaded_image1_1747061124.jpg"""
"1765128901-316,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Mocassins homme"",""22 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323165_uploaded_image1_1747019646.jpg"""
"1765128901-317,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Mocassins homme"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323164_uploaded_image1_1747019335.jpg"""
"1765128901-318,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Acsics"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323162_uploaded_image1_1747019209.jpg"""
"1765128901-319,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Adidas samba"",""23 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323160_uploaded_image1_1747019119.jpg"""
"1765128901-320,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Adidas yezzy 350"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323158_uploaded_image1_1747019052.jpg"""
"1765128901-321,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures hommes"",""2 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323156_uploaded_image1_1747018952.jpg"""
"1765128901-322,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Adidas samba"",""25 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323153_uploaded_image1_1747018079.jpg"""
"1765128901-323,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures  Wallabecs"",""12 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5322852_uploaded_image1_1746995950.jpg"""
"1765128901-324,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""6 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5322219_uploaded_image1_1746951241.jpg"""
"1765128901-325,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277889_uploaded_image1_1744406252.jpg"""
"1765128901-326,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276114_uploaded_image1_1744312833.jpg"""
"1765128901-327,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276102_uploaded_image1_1744312485.jpg"""
"1765128901-328,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Sandales orthopédiques"",""10 000CFA"",""Sacré-Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5318525_uploaded_image1_1746729827.jpg"""
"1765128901-329,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures Timberland"",""13 500CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5317599_uploaded_image1_1746704381.jpg"""
"1765128901-330,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Baskets New Balence 530"",""12 000CFA"",""Ouakam, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5316539_uploaded_image1_1746639353.jpg"""
"1765128901-331,""https://sn.coinafrique.com/categorie/chaussures-homme?page=7"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5316340_uploaded_image1_1746631677.jpg"""
