"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128885-27,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""15 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165587_uploaded_image1_1738510455.jpg"""
"1765128885-28,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Louis Vuitton"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5164976_uploaded_image1_1738461387.jpg"""
"1765128885-29,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5164401_uploaded_image1_1738425286.jpg"""
"1765128885-30,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Bottes homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5163774_uploaded_image1_1738401744.jpg"""
"1765128885-31,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""20 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5115555_uploaded_image1_1735817188.jpg"""
"1765128885-32,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""20 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5115549_uploaded_image1_1735816929.jpg"""
"1765128885-33,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures New balance"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5160982_uploaded_image1_1738247854.jpg"""
"1765128885-34,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""38 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5160860_uploaded_image1_1738243354.jpg"""
"1765128885-35,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5159221_uploaded_image1_1738162375.jpg"""
"1765128885-36,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""2 400CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5157556_uploaded_image1_1738081427.jpg"""
"1765128885-37,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Timberlands"",""55 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5157552_uploaded_image1_1738081319.jpg"""
"1765128885-38,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5157548_uploaded_image1_1738081163.jpg"""
"1765128885-39,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures hommes"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5157546_uploaded_image1_1738081046.jpg"""
"1765128885-40,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures  homme"",""25 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5157484_uploaded_image1_1738078792.jpg"""
"1765128885-41,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Jordan"",""35 000CFA"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5155951_uploaded_image1_1738005577.jpg"""
"1765128885-42,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Baskets New balance et Adidas campus"",""32 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5153222_uploaded_image1_1737841616.jpg"""
"1765128885-43,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Travis schot"",""30 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5153219_uploaded_image1_1737841467.jpg"""
"1765128885-44,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Baskets Adidas gazelle"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5153216_uploaded_image1_1737841359.jpg"""
"1765128885-45,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Timberlands"",""50 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5153210_uploaded_image1_1737841100.jpg"""
"1765128885-46,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Bakhdad shoes"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5153207_uploaded_image1_1737840913.jpg"""
"1765128885-47,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5152932_uploaded_image1_1737822003.jpg"""
"1765128885-48,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""35 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5152904_uploaded_image1_1737820421.jpg"""
"1765128885-49,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""15 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5152563_uploaded_image1_1737805034.jpg"""
"1765128885-50,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Adidas"",""Prix sur demande"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5151881_uploaded_image1_1737752495.jpg"""
"1765128885-51,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Timberland"",""30 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5150663_uploaded_image1_1737692759.jpg"""
"1765128885-52,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Timberland"",""30 000CFA"",""Fann, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5150532_uploaded_image1_1737681617.jpg"""
"1765128885-53,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""15 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5149979_uploaded_image1_1737655711.jpg"""
