"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128100-27,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""160 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942704_uploaded_image1_1726228583.jpg"""
"1765128100-28,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942724_uploaded_image1_1726228813.jpg"""
"1765128100-29,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942710_uploaded_image1_1726228614.jpg"""
"1765128100-30,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Culotte"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942725_uploaded_image1_1726228846.jpg"""
"1765128100-31,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Chemise homme"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942713_uploaded_image1_1726228693.jpg"""
"1765128100-32,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Jean homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4942729_uploaded_image1_1726228909.jpg"""
"1765128100-33,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4902275_uploaded_image1_1724109867.jpg"""
"1765128100-34,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4902277_uploaded_image1_1724109919.jpg"""
"1765128100-35,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble femme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4902271_uploaded_image1_1724109778.jpg"""
"1765128100-36,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4902268_uploaded_image1_1724109660.jpg"""
"1765128100-37,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4899578_uploaded_image1_1723936185.jpg"""
"1765128100-38,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Jean homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4899575_uploaded_image1_1723936087.jpg"""
"1765128100-39,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""3 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4899572_uploaded_image1_1723935970.jpg"""
"1765128100-40,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924205_uploaded_image1_1725320196.jpg"""
"1765128100-41,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vetement homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919075_uploaded_image1_1725059650.jpg"""
"1765128100-42,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Chemise homme"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924193_uploaded_image1_1725319996.jpg"""
"1765128100-43,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""4 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919071_uploaded_image1_1725059510.jpg"""
"1765128100-44,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Chemise homme"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919074_uploaded_image1_1725059569.jpg"""
"1765128100-45,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924189_uploaded_image1_1725319899.jpg"""
"1765128100-46,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vetement homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919084_uploaded_image1_1725059885.jpg"""
"1765128100-47,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919077_uploaded_image1_1725059718.jpg"""
"1765128100-48,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919081_uploaded_image1_1725059822.jpg"""
"1765128100-49,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Calçon coton"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4903885_uploaded_image1_1724192093.jpg"""
"1765128100-50,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""45 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4903887_uploaded_image1_1724192139.jpg"""
"1765128100-51,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900571_uploaded_image1_1724018690.jpg"""
"1765128100-52,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon Cargo"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919054_uploaded_image1_1725058804.jpg"""
"1765128100-53,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lacoste coton"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919051_uploaded_image1_1725058688.jpg"""
"1765128100-54,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""3 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4903884_uploaded_image1_1724191962.jpg"""
"1765128100-55,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900567_uploaded_image1_1724018548.jpg"""
"1765128100-56,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vetement homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914414_uploaded_image1_1724798637.jpg"""
"1765128100-57,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914408_uploaded_image1_1724798529.jpg"""
"1765128100-58,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Chaussures homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900562_uploaded_image1_1724018184.jpg"""
"1765128100-59,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vetement  homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900561_uploaded_image1_1724018099.jpg"""
"1765128100-60,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914417_uploaded_image1_1724798759.jpg"""
"1765128100-61,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon Cargo"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4903873_uploaded_image1_1724191602.jpg"""
"1765128100-62,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon cargo"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914396_uploaded_image1_1724798302.jpg"""
"1765128100-63,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919047_uploaded_image1_1725058538.jpg"""
"1765128100-64,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""3 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924144_uploaded_image1_1725318429.jpg"""
"1765128100-65,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""4 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924145_uploaded_image1_1725318476.jpg"""
"1765128100-66,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Culotte homme"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924148_uploaded_image1_1725318526.jpg"""
"1765128100-67,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""15 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919049_uploaded_image1_1725058598.jpg"""
"1765128100-68,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Surper cent"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914398_uploaded_image1_1724798379.jpg"""
"1765128100-69,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4924142_uploaded_image1_1725318386.jpg"""
"1765128100-70,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914386_uploaded_image1_1724798118.jpg"""
"1765128100-71,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900553_uploaded_image1_1724017674.jpg"""
"1765128100-72,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon cargo"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914380_uploaded_image1_1724798050.jpg"""
"1765128100-73,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon jean"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4914374_uploaded_image1_1724797972.jpg"""
"1765128100-74,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900557_uploaded_image1_1724017882.jpg"""
"1765128100-75,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4919039_uploaded_image1_1725058279.jpg"""
"1765128100-76,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon Cargo"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900530_uploaded_image1_1724016969.jpg"""
"1765128100-77,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""3 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4900532_uploaded_image1_1724017062.jpg"""
"1765128100-78,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Vetement homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4911093_uploaded_image1_1724623752.jpg"""
"1765128100-79,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""4 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4934553_uploaded_image1_1725833591.jpg"""
"1765128100-80,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""T-shirt coton"",""5 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4934554_uploaded_image1_1725833649.jpg"""
