"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128106-201,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Vêtements homme"",""10 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5047553_uploaded_image1_1731787389.jpg"""
"1765128106-202,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Blouson homme en coton"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5090756_uploaded_image1_1734113501.jpg"""
"1765128106-203,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Chemise classe pour homme"",""10 000CFA"",""Damel, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5090255_uploaded_image1_1734092997.jpg"""
"1765128106-204,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Jeans Carho homme"",""8 000CFA"",""Damel, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5090250_uploaded_image1_1734092879.jpg"""
"1765128106-205,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Blouson homme"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5046290_uploaded_image1_1731706762.jpg"""
"1765128106-206,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull homme"",""500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5087584_uploaded_image1_1733950687.jpg"""
"1765128106-207,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull homme"",""500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5087583_uploaded_image1_1733950636.jpg"""
"1765128106-208,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull homme"",""500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5087580_uploaded_image1_1733950551.jpg"""
"1765128106-209,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull homme"",""500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5087579_uploaded_image1_1733950492.jpg"""
"1765128106-210,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Chemises homme"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5085454_uploaded_image1_1733847996.jpg"""
"1765128106-211,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Chemises homme"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5085451_uploaded_image1_1733847919.jpg"""
"1765128106-212,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pantalon Blouson"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042083_uploaded_image1_1731512018.58.jpeg"""
"1765128106-213,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pantalon Blouson"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042023_uploaded_image1_1731511025.03.jpeg"""
"1765128106-214,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Chemise Homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5060984_uploaded_image1_1732548890.59.jpeg"""
"1765128106-215,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Chemise homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg"""
"1765128106-216,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume Homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042013_uploaded_image1_1731510770.07.jpeg"""
"1765128106-217,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume Homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042015_uploaded_image1_1731510832.16.jpeg"""
"1765128106-218,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume Homme"",""75 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042008_uploaded_image1_1731510699.91.jpeg"""
"1765128106-219,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pantalon Blouson"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042017_uploaded_image1_1731510886.69.jpeg"""
"1765128106-220,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pantalon Blouson"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042020_uploaded_image1_1731510968.09.jpeg"""
"1765128106-221,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume Homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042004_uploaded_image1_1731510576.28.jpeg"""
"1765128106-222,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume Homme"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042005_uploaded_image1_1731510642.03.jpeg"""
"1765128106-223,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5042000_uploaded_image1_1731510514.82.jpeg"""
"1765128106-224,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5041995_uploaded_image1_1731510421.67.jpeg"""
"1765128106-225,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""chemise carreaux"",""8 000CFA"",""Damel, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5085151_uploaded_image1_1733837545.jpg"""
"1765128106-226,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull en jeans"",""14 000CFA"",""Damel, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5084952_uploaded_image1_1733831208.jpg"""
"1765128106-227,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull à col roulé"",""6 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5084245_uploaded_image1_1733791143.jpg"""
"1765128106-228,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Vétement homme"",""10 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5040487_uploaded_image1_1731432680.jpg"""
"1765128106-229,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull homme"",""10 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5040404_uploaded_image1_1731430024.jpg"""
"1765128106-230,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pantalon cargo"",""9 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5083540_uploaded_image1_1733754885.jpg"""
"1765128106-231,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pullovers capuchons bombeuz"",""7 000CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5083171_uploaded_image1_1733740914.jpg"""
"1765128106-232,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Tenue africain"",""25 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_5082376_uploaded_image1_1733687615.jpg"""
"1765128106-233,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""T-shirts homme"",""6 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5038258_uploaded_image1_1731333237.jpg"""
"1765128106-234,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Ensemble costumes turquie"",""45 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5081966_uploaded_image1_1733664487.jpg"""
"1765128106-235,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""chemise carreaux"",""9 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5081925_uploaded_image1_1733662275.jpg"""
"1765128106-236,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""collant pull a col rouler homme"",""5 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5080853_uploaded_image1_1733578155.jpg"""
"1765128106-237,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pantalons kaki"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5080317_uploaded_image1_1733537098.jpg"""
"1765128106-238,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Slip  pour homme"",""1 100CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5035627_uploaded_image1_1731171841.jpg"""
"1765128106-239,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Ensemble homme"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5079611_uploaded_image1_1733501013.jpg"""
"1765128106-240,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""vêtements homme"",""7 500CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5034681_uploaded_image1_1731106425.jpg"""
"1765128106-241,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""vêtements homme"",""15 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5034670_uploaded_image1_1731105582.jpg"""
"1765128106-242,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Djellaba lourde"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5077966_uploaded_image1_1733420326.jpg"""
"1765128106-243,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Gabardine rayure sans pantalon"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5077927_uploaded_image1_1733419213.jpg"""
"1765128106-244,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Costume africain"",""40 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5075605_uploaded_image1_1733316337.jpg"""
"1765128106-245,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Pull cotton"",""4 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028884_uploaded_image1_1730844568.jpg"""
"1765128106-246,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Ensemble homme"",""8 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028887_uploaded_image1_1730844645.jpg"""
"1765128106-247,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Ensemble homme"",""10 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5072370_uploaded_image1_1733172703.jpg"""
"1765128106-248,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Blouson Unisexe"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5071960_uploaded_image1_1733157846.jpg"""
"1765128106-249,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Dialabé  pour homme"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5068154_uploaded_image1_1732922296.jpg"""
"1765128106-250,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Lecket Jeans"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5066142_uploaded_image1_1732812604.jpg"""
"1765128106-251,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""Vestments  homme"",""10 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5021532_uploaded_image1_1730468069.jpg"""
"1765128106-252,""https://sn.coinafrique.com/categorie/vetements-homme?page=8"",""pull collant unique colle rouler"",""5 000CFA"",""Damel, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5064136_uploaded_image1_1732709317.jpg"""
"1765128110-253,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Lot de 3 débardeur"",""5 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5130429_uploaded_image1_1736616495.jpg"""
"1765128110-254,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Débardeur en coton"",""5 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5134851_uploaded_image1_1736879211.jpg"""
"1765128110-255,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Lot de 3 débardeur"",""3 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5141405_uploaded_image1_1737216366.jpg"""
"1765128110-256,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""T-shirts"",""5 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5176044_uploaded_image1_1739005206.jpg"""
"1765128110-257,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vetement homme"",""5 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5127469_uploaded_image1_1736445621.jpg"""
"1765128110-258,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Chemise homme"",""15 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5127408_uploaded_image1_1736443373.jpg"""
"1765128110-259,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Lacoste homme"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5171118_uploaded_image1_1738755635.jpg"""
"1765128110-260,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble Nike Tech Fleece"",""40 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5168364_uploaded_image1_1738628825.jpg"""
"1765128110-261,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vetements homme"",""15 000CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5119513_uploaded_image1_1736026950.jpg"""
"1765128110-262,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Chemises El-Hadji"",""18 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5119265_uploaded_image1_1736012510.jpg"""
"1765128110-263,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Chemise el hadji"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5119693_uploaded_image1_1736044548.jpg"""
"1765128110-264,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble blouson"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5166796_uploaded_image1_1738580809.jpg"""
"1765128110-265,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble homme"",""17 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5166739_uploaded_image1_1738579217.jpg"""
"1765128110-266,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble homme"",""17 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5166733_uploaded_image1_1738579033.jpg"""
"1765128110-267,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble homme"",""32 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5166726_uploaded_image1_1738578838.jpg"""
"1765128110-268,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""10 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165738_uploaded_image2_1738518505.jpeg"""
"1765128110-269,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Pantalon"",""14 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165652_uploaded_image1_1738513597.jpg"""
"1765128110-270,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165562_uploaded_image1_1738508823.jpg"""
"1765128110-271,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165560_uploaded_image1_1738508708.jpg"""
"1765128110-272,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165558_uploaded_image1_1738508550.jpg"""
"1765128110-273,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5165554_uploaded_image1_1738508381.jpg"""
"1765128110-274,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble homme"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5116407_uploaded_image1_1735847542.jpg"""
"1765128110-275,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble 3 Pièces"",""30 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5160811_uploaded_image1_1738241510.jpg"""
"1765128110-276,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Jean Celio"",""10 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5156025_uploaded_image1_1738009610.jpg"""
"1765128110-277,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble homme"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5155643_uploaded_image1_1737994709.jpg"""
"1765128110-278,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""7 500CFA"",""Kaolack, Sénégal"",""https://images.coinafrique.com/thumb_5155250_uploaded_image1_1737982432.jpg"""
"1765128110-279,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Costume africain"",""40 000CFA"",""Mbao, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5155092_uploaded_image2_1737976206.jpeg"""
"1765128110-280,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5154164_uploaded_image1_1737913900.jpg"""
"1765128110-281,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5154161_uploaded_image1_1737913840.jpg"""
"1765128110-282,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5154157_uploaded_image2_1737913775.jpeg"""
"1765128110-283,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5154154_uploaded_image1_1737913707.jpg"""
"1765128110-284,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5154152_uploaded_image1_1737913645.jpg"""
"1765128110-285,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Pulls"",""11 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5149969_uploaded_image1_1737655503.jpg"""
"1765128110-286,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""T-shirt"",""8 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5149957_uploaded_image1_1737655158.jpg"""
"1765128110-287,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Dialabé homme"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5149891_uploaded_image1_1737653080.jpg"""
"1765128110-288,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Djialabé"",""12 000CFA"",""Pikine, Sénégal"",""https://images.coinafrique.com/thumb_5147857_uploaded_image1_1737561601.jpg"""
"1765128110-289,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Djialap pour homme"",""10 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5104607_uploaded_image1_1734974719.jpg"""
"1765128110-290,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Djalaba pour homme"",""10 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5105336_uploaded_image1_1735030845.jpg"""
"1765128110-291,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Pull unique"",""8 500CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5147705_uploaded_image1_1737556553.jpg"""
"1765128110-292,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Pull unique"",""8 500CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5147699_uploaded_image1_1737556424.jpg"""
"1765128110-293,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Costume africain"",""30 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145144_uploaded_image1_1737451281.jpg"""
"1765128110-294,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensembles blouson"",""10 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5139741_uploaded_image1_1737118803.jpg"""
"1765128110-295,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Custume africain"",""30 000CFA"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5138792_uploaded_image1_1737058114.jpg"""
"1765128110-296,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""30 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5137131_uploaded_image1_1736980238.jpg"""
"1765128110-297,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble homme"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5101945_uploaded_image1_1734782082.jpg"""
"1765128110-298,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble sous-vêtements et caleçon"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5133103_uploaded_image1_1736792637.jpg"""
"1765128110-299,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""6 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131126_uploaded_image1_1736678817.jpg"""
"1765128110-300,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Bas large homme"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131117_uploaded_image1_1736677702.jpg"""
"1765128110-301,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Jalabe"",""25 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5130694_uploaded_image1_1736629706.jpg"""
"1765128110-302,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""T-shirt"",""6 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5130442_uploaded_image1_1736617115.jpg"""
"1765128110-303,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble short et t-shirt"",""5 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_5129420_uploaded_image1_1736548677.jpg"""
"1765128110-304,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Jalaba homme"",""15 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5126818_uploaded_image1_1736423423.jpg"""
"1765128110-305,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Costumes homme"",""50 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5126225_uploaded_image1_1736384138.jpg"""
"1765128110-306,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Jacket en cuir"",""14 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5125921_uploaded_image1_1736368741.jpg"""
"1765128110-307,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Lacoste homme"",""8 000CFA"",""Almadies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5125477_uploaded_image1_1736354339.jpg"""
"1765128110-308,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Pull-over à capuche"",""8 500CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5124119_uploaded_image1_1736283986.jpg"""
"1765128110-309,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements homme"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5123705_uploaded_image1_1736266670.jpg"""
"1765128110-310,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Chaussures Adidas pantalon"",""9 000CFA"",""Almadies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5122595_uploaded_image1_1736216554.jpg"""
"1765128110-311,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Tennis de sécurité"",""20 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5121972_uploaded_image1_1736187214.jpg"""
"1765128110-312,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Tennis de travail"",""709 373 735CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5121970_uploaded_image1_1736187110.jpg"""
"1765128110-313,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Tennis de travail"",""15 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5121968_uploaded_image2_1736186951.jpeg"""
"1765128110-314,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Vêtements"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5121681_uploaded_image1_1736175141.jpg"""
"1765128110-315,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble Costume africain"",""35 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5119898_uploaded_image1_1736069027.jpg"""
"1765128110-316,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble africain"",""30 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5119894_uploaded_image1_1736068886.jpg"""
"1765128110-317,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Costume africain"",""35 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5118948_uploaded_image1_1735994888.jpg"""
"1765128110-318,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Costume africain"",""45 000CFA"",""Almadies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5118945_uploaded_image1_1735994636.jpg"""
"1765128110-319,""https://sn.coinafrique.com/categorie/vetements-homme?page=7"",""Ensemble pull-over"",""15 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_5118036_uploaded_image1_1735932645.jpg"""
